Surveyor,GlobalID,Tree species scientific,Height of tree (m),DBH (cm),Density,Chave biomass (kg),Chave tCO2eq- ,Chave biomass (wd = 0.45),x,y
Nick Metherall Nasolo June 2022,088df9e6-8f99-4b95-b191-4996d70c52f8,Carica papaya,3.9,5.3,0.75,4.974396638,0.009119727,3.021454312,177.6822195,-17.57251633
Nick Metherall Nasolo June 2022,52e56696-fcc5-4ead-a3c4-6943d9659211,Spathodea campanulata,8.2,11.8,0.45,29.76778195,0.054574267,29.76778195,177.6837022,-17.57218267
Nick Metherall Nasolo June 2022,b127db32-d95b-46c4-863c-60bac9561997,Spathodea campanulata,4,9.5,0.45,9.675591108,0.017738584,9.675591108,177.683416,-17.571672
Nick Metherall Nasolo June 2022,c5e61007-9ca3-49fe-8af2-be6e3c45a5d7,Spathodea campanulata,16.3,50.3,0.45,986.5208908,1.808621633,986.5208908,177.6836867,-17.57213167
Nick Metherall Nasolo June 2022,e7065e0a-a2fa-4f3b-a11d-5debd5634e51,Spathodea campanulata,17.4,53.2,0.45,1173.021711,2.150539803,1173.021711,177.6836795,-17.5721555
Nick Metherall Nasolo June 2022,757b0124-f308-45cb-8342-ff6f7ca2c49a,Spathodea campanulata,11.7,18.6,0.45,102.3738758,0.187685439,102.3738758,177.6836598,-17.57218717
Nick Metherall Nasolo June 2022,ab3d3520-33d7-4e5c-8f09-4646935beae7,Spathodea campanulata,14.9,43.9,0.45,692.9007304,1.270318006,692.9007304,177.683618,-17.57219867
Nick Metherall Nasolo June 2022,644d2fa1-7296-443a-be9b-e23881012f98,Spathodea campanulata,15.3,42.2,0.45,658.2929718,1.206870448,658.2929718,177.6836088,-17.57222683
Nick Metherall Nasolo June 2022,80f9777e-af9d-47db-8b67-baab59b95408,Spathodea campanulata,14.4,27.3,0.45,265.156182,0.486119667,265.156182,177.683619,-17.57221667
Nick Metherall Nasolo June 2022,6524d52e-99be-42a3-8ec5-bb736765f961,Spathodea campanulata,8.6,12.1,0.45,32.7505056,0.060042594,32.7505056,177.6836047,-17.5722425
Nick Metherall Nasolo June 2022,657d4bb7-cd37-4b8f-8860-b546b2a785f8,Spathodea campanulata,5.7,8.4,0.45,10.75170904,0.019711467,10.75170904,177.6836162,-17.57224983
Nick Metherall Nasolo June 2022,5e677312-ff91-4d64-a5e7-1658030568e5,Spathodea campanulata,3.7,8.3,0.45,6.888993844,0.012629822,6.888993844,177.683416,-17.571672
Nick Metherall Nasolo June 2022,5ad83b25-8ff3-4047-9bc9-d2e6069c0717,Carica papaya,3.7,5,0.45,2.561561627,0.004696196,2.561561627,177.6836295,-17.572242
Nick Metherall Nasolo June 2022,bddc552f-3c57-47d2-a9fc-bbe24a43fe6e,Spathodea campanulata,10.6,19.3,0.45,99.92102245,0.183188541,99.92102245,177.683416,-17.571672
Nick Metherall Nasolo June 2022,93cfa761-fe44-4fb0-8bb6-10802e84b575,Spathodea campanulata,9.4,11.6,0.45,32.89616397,0.060309634,32.89616397,177.6835973,-17.5722695
Nick Metherall Nasolo June 2022,3f766145-b806-413d-9c31-2cc8fe81c9e0,Spathodea campanulata,9.1,10,0.45,23.85475039,0.043733709,23.85475039,177.6836077,-17.5722535
Nick Metherall Nasolo June 2022,80a03135-a075-45df-9ade-61a5be567406,Spathodea campanulata,7.4,10.7,0.45,22.24732351,0.04078676,22.24732351,177.683587,-17.572261
Nick Metherall Nasolo June 2022,11e2b0f6-742e-4bb7-bb6d-6545424d6167,Spathodea campanulata,8.7,20.2,0.64,127.0174479,0.232865321,90.06729949,177.6835845,-17.57225233
Nick Metherall Nasolo June 2022,b4f994ef-3e82-49b1-9985-ee82d5d8e94c,Spathodea campanulata,12.4,18,0.64,143.3237667,0.262760239,101.6300109,177.6835867,-17.57224317
Nick Metherall Nasolo June 2022,874cf47a-f631-4251-b48f-714bc2e635fa,Spathodea campanulata,16.9,29.7,0.25,205.8934475,0.37747132,365.4167834,177.6835875,-17.57222117
Nick Metherall Nasolo June 2022,1e974da2-42c3-4c08-a4a5-d3a309d592c2,Spathodea campanulata,4.9,12.5,#N/A,#N/A,#N/A,20.15348689,177.6835647,-17.57223833
Nick Metherall Nasolo June 2022,d0e89e9d-82cb-4da3-9e1d-ed100e00fb54,Spathodea campanulata,8.4,20.2,0.64,122.7408638,0.225024917,87.03479967,177.6835618,-17.57223567
Nick Metherall Nasolo June 2022,11bbd117-dac9-49e8-9081-a4377fb8b224,Spathodea campanulata,17.3,61.3,0.64,2169.214814,3.976893826,1538.177026,177.6835555,-17.572215
Nick Metherall Nasolo June 2022,29103c90-f894-4247-a9af-1380b0af2bd8,Spathodea campanulata,9.1,16.5,0.25,35.72379353,0.065493621,63.40208436,177.6835502,-17.572224
Nick Metherall Nasolo June 2022,9d4f665c-1765-4dad-a063-4f8d3be184fb,Spathodea campanulata,13.1,24.1,0.45,189.5415943,0.347492923,189.5415943,177.6835265,-17.57223967
Nick Metherall Nasolo June 2022,3f5ed726-c0d8-44d9-9777-dea7fb24a54c,Spathodea campanulata,8,10.2,0.64,30.83543514,0.056531631,21.86521944,177.6835058,-17.57224117
Nick Metherall Nasolo June 2022,8e3b6a5d-252f-424e-86fc-b8d5a85fe940,Spathodea campanulata,7.6,9.6,0.45,18.47642701,0.03387345,18.47642701,177.6835428,-17.57223567
Nick Metherall Nasolo June 2022,d201c35f-4e40-490c-84a4-bf30756a6ee2,Spathodea campanulata,9.1,12.2,0.64,49.59586934,0.09092576,35.16812918,177.683525,-17.57223933
Nick Metherall Nasolo June 2022,4e9f31d6-914d-466b-b15d-21d61d7edb16,Spathodea campanulata,10.2,18.4,0.52,100.9607309,0.185094673,87.67355885,177.6835212,-17.57223
Nick Metherall Nasolo June 2022,6d871e6a-448d-4872-ac2e-6727d3c7289a,Spathodea campanulata,14.5,30.1,0.45,323.0036629,0.592173382,323.0036629,177.6835107,-17.5722275
Nick Metherall Nasolo June 2022,69bc9f71-a1bb-4a59-8008-4eea8fadb45b,Spathodea campanulata,17.3,59.6,0.64,2053.337858,3.76445274,1456.009382,177.6835143,-17.572184
Nick Metherall Nasolo June 2022,cddaae2e-99a0-481f-a683-132e8a76cbd3,Spathodea campanulata,17.1,17.1,0.64,177.4431874,0.32531251,125.8238845,177.683518,-17.5722355
Nick Metherall Nasolo June 2022,654a2239-e1d2-40fd-b904-0b2e99696631,Spathodea campanulata,6.7,9.3,#N/A,#N/A,#N/A,15.35600344,177.6835328,-17.57218933
Nick Metherall Nasolo June 2022,ad81c69b-8da7-4198-91b9-a95331df11a6,Spathodea campanulata,14.2,17.2,0.45,106.1537719,0.194615248,106.1537719,177.68356,-17.57218483
Nick Metherall Nasolo June 2022,b2dec534-6ac6-4ead-b169-ad28ddd7f964,Spathodea campanulata,13.1,18.8,0.64,164.6112926,0.30178737,116.724866,177.6835735,-17.572177
Nick Metherall Nasolo June 2022,9a9b7dc3-f374-48fb-a113-419f475ed922,Spathodea campanulata,7,12.7,#N/A,#N/A,#N/A,29.44360806,177.6835922,-17.572186
Nick Metherall Nasolo June 2022,650bb50b-f6d8-4f13-a40e-fcc3ebeb61d0,Spathodea campanulata,10,13.6,0.64,67.22250126,0.123241252,47.66706663,177.6835878,-17.57218417
Nick Metherall Nasolo June 2022,da2420f2-2077-4e08-a3bf-3ce0cf20dfc6,Spathodea campanulata,12.4,23.5,0.64,241.1852535,0.442172965,171.0229957,177.683567,-17.57219517
Nick Metherall Nasolo June 2022,fa751dba-6974-456b-bef1-d225581b08a0,Spathodea campanulata,12,13.8,0.64,82.63643852,0.151500137,58.59699575,177.6835582,-17.57215683
Nick Metherall Nasolo June 2022,2423530c-57c0-4722-b1c9-71c59a38638d,Spathodea campanulata,12.4,23.5,0.33,126.3539146,0.231648843,171.0229957,177.6835813,-17.57215867
Nick Metherall Nasolo June 2022,9bab033b-c881-4a76-bd1e-315c03da676f,Spathodea campanulata,10.2,20.6,0.64,154.1378513,0.282586061,109.2982125,177.6835468,-17.5721505
Nick Metherall Nasolo June 2022,4bce6892-9af0-4575-9342-42bea82f0eab,Spathodea campanulata,17.1,46.9,0.64,1271.687234,2.331426595,901.7456799,177.6835257,-17.57214533
Nick Metherall Nasolo June 2022,f344bcbb-59bf-4d41-bac4-96c9709d729e,Spathodea campanulata,23.5,14.7,0.64,180.1409256,0.330258364,127.7368343,177.6835755,-17.57214183
Nick Metherall Nasolo June 2022,1ebc9d2e-03c8-4113-926b-d39a5df3142d,Spathodea campanulata,9.2,17.2,0.64,98.0065647,0.179678702,69.4958587,177.6835632,-17.57213917
Nick Metherall Nasolo June 2022,dff3875d-b726-46eb-a144-5d2ef2d0ffc6,Mangifera indica,12.4,57.8,0.64,1397.363594,2.561833255,990.862022,177.6836277,-17.5720895
Nick Metherall Nasolo June 2022,7a2be62d-836a-4d35-b114-e1d43ce816a7,Spathodea campanulata,9.5,14.7,0.64,74.4232095,0.136442551,52.77304503,177.6835885,-17.57212317
Nick Metherall Nasolo June 2022,29c52061-6817-499a-86be-d94531450279,Spathodea campanulata,6.5,11,#N/A,#N/A,#N/A,20.68961624,177.6835873,-17.572112
Nick Metherall Nasolo June 2022,f24fb86f-073c-4877-93a0-f57bdeab9c80,Spathodea campanulata,7.4,10.4,0.25,11.85833594,0.021740283,21.04600719,177.6836183,-17.57214833
Nick Metherall Nasolo June 2022,77e17b82-0acf-4cf4-b4e3-e49657d43a47,Spathodea campanulata,8.8,9.8,0.64,31.29933472,0.057382114,22.19416781,177.6836023,-17.57214167
Nick Metherall Nasolo June 2022,a17497fa-17e1-4c9d-9bd1-61a649583efc,Spathodea campanulata,5.7,6.7,0.64,9.751660943,0.017878045,6.914843441,177.6836882,-17.5721255
Nick Metherall Nasolo June 2022,59be8d36-1556-40c4-832d-ad965f74a743,Spathodea campanulata,4.7,10,0.64,17.6528255,0.032363513,12.51751115,177.6836348,-17.57214767
Nick Metherall Nasolo May 2023,b86bbbe5-5b1e-4b56-a967-74729aedc6cc,Samanea saman,7.5,119,0.64,3502.468036,6.421191399,2483.578773,177.7267325,-17.59102533
Nick Metherall Nasolo May 2023,244bc540-df9b-46d2-b7dc-a2751554dba1,Carica papaya,5.5,18.5,0.64,68.38485299,0.12537223,48.49128316,177.7267185,-17.5910455
Nick Metherall Nasolo May 2023,da67f6fd-3757-4220-8490-dab7804bc441,Pear,5.5,15.5,0.64,48.41368929,0.08875843,34.3298525,177.7267227,-17.59100783
Nick Metherall Nasolo May 2023,aa8c5962-64b3-4e86-855a-1d0f1231aea6,Pear,4.4,10.5,0.64,18.20614691,0.033377936,12.909868,177.726705,-17.59100633
Nick Metherall Nasolo May 2023,ab30f346-dc52-491d-9f2e-d4d478797469,Pear,5,5.5,0.64,5.837533864,0.010702145,4.139359744,177.7266945,-17.59092483
Nick Metherall Nasolo May 2023,2db6b610-45f7-484f-b61b-3ba03e9f5c00,Pear,5.7,6,0.64,7.861977901,0.014413626,5.574880693,177.7266877,-17.59095017
